Address,Possesion,Furnishing,Buildup_area,Carpet_area,Bathrooms,Parking,Price,Brokerage,Floor,Per_sqft_price,BHK,Total_bedrooms
"N Rose Northern Heights, Shanti Nagar, Dahisar East, Mumbai",Ready to move,Unfurnished,1700.0,1107.0,3.0,1,25000000,250000.0,42.0,14710.0,3.0,3.0
"Tirupathi The Windsor, Chinchpada, Borivali East, Mumbai",Ready to move,Semi Furnished,655.0,413.0,2.0,1,9200000,92000.0,14.0,14040.0,1.0,1.0
"Town Swaroop Marvel Gold, Panchsheel Nagar, Bhandup West, Mumbai",Ready to move,Unfurnished,558.0,385.0,2.0,1,9000000,90000.0,22.0,16130.0,1.0,1.0
"MHADA Colony, Mulund East, Mumbai",Ready to move,Fully Furnished,2100.0,1400.0,4.0,2,31500000,310000.0,8.0,15000.0,4.0,4.0
"Kamala Nagar, Vile Parle West, Mumbai",Ready to move,Semi Furnished,1200.0,1117.266737,1.0,2,46500000,46500000.0,13.0,38750.0,3.0,3.0
"Lodha Seaview, Teen Batti, Malabar Hill, Mumbai",Ready to move,Unfurnished,3200.0,2335.0,4.0,3,225000000,2200000.0,22.0,70310.0,4.0,4.0
"Shree Satya Sai Solitaire II, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,650.0,455.0,1.0,2,3500000,39364.35016,9.0,5380.0,1.0,1.0
"Country Park II, Food Corporation Of India Warehouse, Borivali East, Mumbai",Ready to move,Unfurnished,512.0,425.0,2.0,0,12400000,120000.0,8.0,24220.0,1.0,1.0
"Vikram Rachna Towers, Global City, Virar West, Mumbai",Ready to move,Semi Furnished,750.0,415.0,1.0,1,2800000,56000.0,12.0,3730.0,1.0,1.0
"Rajesh Whitecity Phase 1 Wing A, Singh Agri Estate, Kandivali East, Mumbai",Ready to move,Unfurnished,730.0,468.0,2.0,1,12700000,120000.0,42.0,17400.0,1.0,1.0
"Parle Colony, Vile Parle East, Mumbai",Ready to move,Unfurnished,600.0,448.2297581,1.0,1,12500000,12500000.0,10.0,20830.0,1.0,2.0
"Suyog Jeevan Anand, Anand Nagar, Bhandup West, Mumbai",Ready to move,Semi Furnished,655.0,415.0,2.0,1,8400000,84000.0,20.0,12820.0,1.0,1.0
"DIP MANDIR CHS, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,890.0,609.2363164,1.0,0,17000000,17000000.0,15.0,19100.0,2.0,2.0
"Pinewood Apartment, Mulund West, Mumbai",Ready to move,Unfurnished,780.0,574.0,2.0,1,15500000,160000.0,8.0,19870.0,2.0,2.0
"Uniquepoonam Sky City, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,610.0,410.0,1.0,1,3000000,60000.0,23.0,4920.0,1.0,1.0
"I C Colony, Borivali West, Mumbai",Ready to move,Unfurnished,1250.0,920.0,3.0,1,25700000,0.0,22.0,20560.0,3.0,3.0
"Dhariwal Swami Vivekanand CHS, Tilak Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,550.0,465.0,2.0,1,13800000,140000.0,23.0,25090.0,1.0,1.0
"Panch rasta, P&T Staff Colony, Mulund West, Mumbai",Ready to move,Fully Furnished,880.0,700.6454434,1.0,2,16000000,16000000.0,8.0,18180.0,2.0,2.0
"Sheth Enclave 6th To 10th Floor, Amrut Nagar, Ghatkopar West, Mumbai",Ready to move,Unfurnished,1550.0,1150.0,3.0,2,30000000,300000.0,10.0,19350.0,3.0,3.0
"Oberoi sky heights , Lokhandwala Complex, Andheri West, Mumbai",Ready to move,Unfurnished,2871.0,3349.976617,4.0,2,165000000,165000000.0,40.0,57470.0,4.0,4.0
"Chandak Nischay, Ambawadi, Dahisar East, Mumbai",Ready to move,Fully Furnished,720.0,500.0,2.0,1,16800000,170000.0,23.0,23330.0,2.0,2.0
"Chauhan Galaxy, Beverly Park, Mira Road East, Mumbai",Ready to move,Semi Furnished,670.0,698.8056438,3.0,1,5861000,0.0,7.0,8750.0,1.0,2.0
"Sadguru Sky Heights, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,980.0,650.0,2.0,1,5500000,8071.217911,9.0,5610.0,2.0,2.0
"Bolinj, Virar West, Mumbai",Ready to move,Semi Furnished,610.0,399.9357935,1.0,1,2600000,50000.0,3.0,4260.0,1.0,1.0
"Sapphire, Ambedkar Nagar, Kandivali West, Mumbai",Ready to move,Unfurnished,450.0,394.0,2.0,1,9000000,0.0,21.0,20000.0,1.0,1.0
"Laxmi Avenue D Global City, Agashi, Virar West, Mumbai",Ready to move,Unfurnished,620.0,415.0,2.0,1,3150000,0.0,7.0,5080.0,1.0,1.0
"Ajmera Treon, Bhakti Park, Wadala East, Mumbai",Ready to move,Semi Furnished,1150.0,1000.0,2.0,1,31000000,310000.0,34.0,26960.0,2.0,2.0
"Sea Breeze CHS, Anand Park, Dahisar West, Mumbai",Ready to move,Unfurnished,540.0,433.8508114,1.0,0,12500000,12500000.0,6.0,23150.0,2.0,2.0
"Rashmi Classic, Yashvant Viva TownShip, Nalasopara East, Mumbai",Ready to move,Semi Furnished,600.0,400.0,1.0,1,2944000,42392.67464,7.0,4910.0,1.0,1.0
"Piramal Revanta, Mulund Colony, Mulund West, Mumbai",Ready to move,Unfurnished,844.0,768.0,2.0,1,21000000,210000.0,40.0,24880.0,2.0,2.0
"Landmark Towers, Gautam Nagar, Dadar East, Mumbai",Ready to move,Semi Furnished,950.0,800.0,2.0,4,33800000,33358515.03,25.0,35610.0,2.0,2.0
"Mittal Aristo, Parel, Mumbai",Ready to move,Semi Furnished,1850.0,1350.0,4.0,1,48000000,450000.0,15.0,25950.0,3.0,3.0
"Swaminarayan Dham, Marol, Andheri East, Mumbai",Ready to move,Unfurnished,616.0,516.0,2.0,1,11100000,0.0,12.0,18020.0,2.0,2.0
"MICL Aradhya D And E Tower, Mahajan Wadi, Mira Road East, Mumbai",Ready to move,Unfurnished,756.0,630.0,2.0,1,12000000,353650.3698,30.0,15870.0,2.0,2.0
"Good Shepherd Residency, Mitha Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,1350.0,900.0,3.0,2,23000000,230000.0,21.0,17040.0,3.0,3.0
"Oberoi woods, Yashodham, Goregaon East, Mumbai",Ready to move,Semi Furnished,1200.0,1391.643594,1.0,1,40500000,40500000.0,35.0,33750.0,3.0,2.0
"SR Surya Kirti Heights, Global City, Virar West, Mumbai",Ready to move,Semi Furnished,750.0,430.0,2.0,1,2850000,57000.0,15.0,3800.0,1.0,1.0
"Lokhandwala Whispering Palms Exclusive, Lokhandwala Township, Kandivali East, Mumbai",Ready to move,Unfurnished,650.0,450.0,2.0,1,12500000,130000.0,21.0,19230.0,1.0,1.0
"Thakur Vishnu Shivam Tower, Thakur Village, Kandivali East, Mumbai",Ready to move,Semi Furnished,1250.0,870.0,2.0,1,25000000,250000.0,29.0,20000.0,2.0,2.0
"Mahavir KD Hermitage B No 2, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Semi Furnished,1100.0,720.0,2.0,1,9127000,200000.0,12.0,8300.0,2.0,2.0
"Maker tower H, Cuffe Parade, Mumbai",Ready to move,Fully Furnished,1800.0,1927.588393,1.0,1,130000000,130000000.0,23.0,72220.0,4.0,3.0
"Marol, Andheri East, Mumbai",Ready to move,Unfurnished,567.0,432.0,2.0,1,9600000,96000.00435,7.0,16930.0,1.0,1.0
"Maxima Building, Jogeshwari East, Mumbai",Ready to move,Unfurnished,1965.0,1371.116864,1.0,2,57600000,57600000.0,32.0,29310.0,3.0,3.0
"siddhivinayak grandeur , Kamgar Nagar, Prabhadevi, Mumbai",Ready to move,Semi Furnished,1050.0,946.5580998,1.0,1,42000000,42000000.0,22.0,40000.0,2.0,2.0
"vardhman nagar palghar, Haranwali, Palghar, Mumbai",Ready to move,Semi Furnished,630.0,380.000002,2.0,1,1800000,7.4e-05,4.0,2860.0,1.0,1.0
"K Raheja Vistas, Panchkutir Ganesh Nagar, Powai, Mumbai",Ready to move,Unfurnished,975.0,675.0,2.0,1,21800000,220000.0,20.0,22360.0,2.0,2.0
"RTO Colony, Mumbai Central, Mumbai",Ready to move,Fully Furnished,2580.0,1750.0,6.0,6,100000000,1000000.0,35.0,38760.0,5.0,5.0
"Haware Tilak Nagar Shree Sainath CHS Ltd, Shastri Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,750.0,698.0,2.0,3,18000000,17849495.55,20.0,24000.0,2.0,2.0
"Huges 49 Elina, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,580.0,475.0,2.0,1,12500000,130000.0,14.0,21550.0,1.0,1.0
"GOOD SOCIETY, Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,700.0,530.0024776,1.0,2,18500000,18500000.0,12.0,26430.0,2.0,2.0
"Neelyog Aashiyana I, Sector 6 Charkop, Kandivali West, Mumbai",Ready to move,Fully Furnished,600.0,430.0,2.0,1,11000000,110000.0,19.0,18330.0,1.0,1.0
"Sheth Vasant Oasis Zinnia Bldg 17, Marol, Andheri East, Mumbai",Ready to move,Unfurnished,900.0,700.0,2.0,1,22500000,230000.0,22.0,25000.0,2.0,2.0
"Sheth Beaumonte Tower B Phase 1 Building No 10, Sion East, Sion, Mumbai",Ready to move,Semi Furnished,1350.0,1270.0,2.0,2,60000000,600000.0,40.0,44440.0,3.0,3.0
"BREDCO Viceroy Park, Thakur Village, Kandivali East, Mumbai",Ready to move,Semi Furnished,1350.0,1100.0,3.0,1,33000000,400000.0,21.0,24440.0,3.0,3.0
"KM Horizon Flora, Bhayandarpada, Thane West, Mumbai",Ready to move,Semi Furnished,700.0,550.0,2.0,2,5600000,56000.0,19.0,8000.0,2.0,2.0
"Rustomjee Crown Phase 2, Prabhadevi, Mumbai",Ready to move,Unfurnished,2403.0,1717.0,5.0,2,129900000,1300000.0,60.0,54060.0,4.0,4.0
"Tanvi Eminence Phase 2, Chandan Shanti, Mira Road East, Mumbai",Ready to move,Unfurnished,700.0,450.0,2.0,0,7000000,138101.4099,15.0,10000.0,1.0,1.0
"Ashar Maple, Ghati Pada, Mulund West, Mumbai",Ready to move,Semi Furnished,600.0,466.0,2.0,2,10500000,110000.0,31.0,17500.0,1.0,1.0
"Matunga , Matunga East, Mumbai",Ready to move,Semi Furnished,1650.0,1358.05334,3.0,2,65000000,65000000.0,23.0,39390.0,3.0,2.0
"Star Heights, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Semi Furnished,660.0,407.3349065,2.0,1,3000000,0.0,12.0,4540.0,1.0,1.0
"Kamala Nagar, Vile Parle West, Mumbai",Ready to move,Unfurnished,1100.0,1382.196833,1.0,2,55000000,55000000.0,12.0,50000.0,3.0,3.0
"Kolte Patil Verve, Bangur Nagar, Goregaon West, Mumbai",Ready to move,Semi Furnished,1240.0,1033.0,3.0,2,35000000,20669567.9,16.0,28230.0,3.0,3.0
"Tilak Nagar, Chembur, Mumbai",Ready to move,Unfurnished,557.0,407.1003298,1.0,0,11500000,11500000.0,7.0,20650.0,1.0,2.0
"Lodha Marquise, Siddharth Nagar, Worli, Mumbai",Ready to move,Semi Furnished,1600.0,1275.0,4.0,2,72000000,720000.0,72.0,45000.0,3.0,3.0
"Greenwood Apartment, Gundavali, Andheri East, Mumbai",Ready to move,Semi Furnished,1140.0,750.0,2.0,1,24000000,240000.0,9.0,21050.0,2.0,2.0
"CALL FOR NAME, Hill Road Nagar, Kurla East, Mumbai",Ready to move,Fully Furnished,1550.0,1189.817433,1.0,1,59900000,59900000.0,5.0,38650.0,3.0,3.0
"Khatri Malad west , Mamletdar Wadi, Malad West, Mumbai",Ready to move,Unfurnished,500.0,407.4973483,1.0,1,8400000,98247.18415,7.0,16800.0,1.0,2.0
"Rajlaxmi Residency, Jawahar Nagar, Goregaon West, Mumbai",Ready to move,Unfurnished,1050.0,765.0,2.0,1,22100000,219999.9925,7.0,21050.0,2.0,2.0
"Deep Pride A To E Wing, Morya Nagar, Nalasopara West, Mumbai",Ready to move,Unfurnished,590.0,380.5852035,2.0,1,3200000,63878.34829,7.0,5420.0,1.0,1.0
"Sunteck West World 2 Tivri Naigaon East, Naigaon East, Mumbai",Ready to move,Unfurnished,610.0,392.0,2.0,1,3278000,68531.27594,22.0,5370.0,1.0,1.0
"Khar, Khar West, Mumbai",Ready to move,Fully Furnished,950.0,1073.700747,1.0,1,52000000,52000000.0,15.0,54740.0,2.0,2.0
"Gorai 1, Borivali West, Mumbai",Ready to move,Fully Furnished,1050.0,630.0833881,1.0,0,8900000,0.0,5.002829932,8480.0,3.0,4.0
"Lodha World One, Lower Parel, Mumbai",Ready to move,Semi Furnished,2600.0,1900.0,4.0,2,97500000,980000.0,73.0,37500.0,3.0,3.0
"New Mhada Complex, Srishti Complex, Mira Road East, Mumbai",Ready to move,Unfurnished,550.0,333.0,2.0,2,4800000,90000.0,18.0,8730.0,1.0,1.0
"Earth Vintage, Babasaheb Ambedkar Nagar, Dadar West, Mumbai",Ready to move,Semi Furnished,675.0,675.0,3.0,1,35000000,350000.0,32.0,51850.0,2.0,2.0
"Runwal Bliss Wing B, Kanjurmarg East, Mumbai",Ready to move,Semi Furnished,1150.0,723.0,2.0,1,21000000,210000.0,50.0,18260.0,2.0,2.0
"Sahakar Nagar, Chembur, Mumbai",Ready to move,Semi Furnished,928.0,673.4007026,1.0,1,16900000,16900000.0,16.0,18210.0,2.0,2.0
"Lodha Bellissimo, Adarsh Nagar, Lower Parel, Mumbai",Ready to move,Semi Furnished,2400.0,2100.0,3.0,2,72000000,720000.0,48.0,30000.0,3.0,3.0
