Buildup_area,Carpet_area,Bathrooms,Parking,Brokerage,Floor,Per_sqft_price,BHK,Total_bedrooms,Price_Category
500.0,392.0,2.0,1,50000.0,14.0,5000.0,1.0,1.0,Low
1800.0,1068.0,2.0,2,360000.0,22.0,20280.0,3.0,3.0,Very High
1250.0,860.0,2.0,2,400000.0,39.0,32000.0,2.0,2.0,Very High
950.0,660.0,2.0,1,180000.0,7.0,18420.0,2.0,2.0,Medium
650.0,484.0,2.0,1,97000.0,33.0,15000.0,2.0,2.0,Low
600.0,432.0,2.0,0,0.0,12.0,13080.0,1.0,1.0,Low
595.0,392.5159164,2.0,1,59140.15398,15.0,5040.0,1.0,1.0,Low
600.0,400.0,1.0,2,93000.0,22.0,15500.0,1.0,1.0,Low
1060.0,780.0,2.0,1,113617.2784,13.0,8960.0,2.0,2.0,Low
550.0,414.0,2.0,1,110000.0,17.0,19090.0,1.0,1.0,Medium
1515.0,981.4736476,1.0,2,46800000.0,62.0,30890.0,3.0,3.0,Very High
1850.0,1677.984442,1.0,3,120000000.0,14.0,64860.0,3.0,2.0,Very High
1190.0,790.0,2.0,1,240000.0,15.0,20170.0,2.0,2.0,High
2256.0,2156.0,4.0,1,1500000.0,68.0,66490.0,4.0,4.0,Very High
630.0,421.3354848,1.0,1,68000.0,14.0,5380.0,1.0,2.0,Low
1250.0,888.0,2.0,1,250000.0,20.0,20000.0,2.0,2.0,High
585.0,400.0,2.0,1,110000.0,8.0,18460.0,1.0,1.0,Medium
790.0,594.0,2.0,1,160000.0,22.0,20250.0,2.0,2.0,Medium
1283.0,1167.0,2.0,1,350000.0,39.0,27280.0,3.0,3.0,Very High
950.0,777.2416032,1.0,1,31500000.0,10.0,33160.0,2.0,2.0,High
1020.0,775.0,2.0,2,0.0,36.0,27450.0,2.0,2.0,High
3778.0,3805.76653,2.0,3,160400055.5,16.0,53920.0,5.0,6.0,Very High
700.0,552.5630594,2.0,1,140000.0,7.0,10000.0,1.0,1.0,Low
1500.0,1050.0,3.0,1,11363507.26,55.0,42000.0,3.0,3.0,Very High
1885.0,1682.875323,1.0,2,58000000.0,12.0,30770.0,3.0,4.0,Very High
1200.0,771.0,2.0,1,190000.0,36.0,15830.0,2.0,2.0,Medium
530.0,430.0,2.0,1,130000.0,22.0,25280.0,1.0,1.0,Medium
880.0,590.0,2.0,1,100000.0,22.0,13070.0,2.0,2.0,Medium
743.0,700.0,2.0,1,9620054.99,15.0,17500.0,2.0,2.0,Medium
570.0,420.0,2.0,1,140000.0,16.0,24910.0,1.0,1.0,Medium
1425.0,1140.0,3.0,2,330000.0,38.0,22810.0,3.0,3.0,High
970.0,690.0,2.0,1,160000.0,15.0,16800.0,2.0,2.0,Medium
720.0,529.1428258,1.0,0,14000000.0,7.0,19440.0,2.0,2.0,Medium
1900.0,1881.960635,1.0,2,80000000.0,22.0,42100.0,3.0,5.0,Very High
800.0,700.0,2.0,2,490000.0,44.0,30630.0,2.0,2.0,High
930.0,710.0,2.0,1,160000.0,27.0,17200.0,2.0,2.0,Medium
560.0,390.0359405,3.0,1,1296.675944,14.0,4640.0,1.0,1.0,Low
1250.0,900.0,3.0,1,178892.9482,23.0,16640.0,3.0,3.0,High
595.0,375.0,1.0,2,0.0,14.0,7060.0,1.0,1.0,Low
978.0,600.0,2.0,1,190000.0,20.0,19530.0,2.0,2.0,Medium
2400.0,1600.0,4.0,2,0.0,63.0,29170.0,3.0,3.0,Very High
1700.0,1250.0,3.0,1,0.0,24.0,37060.0,3.0,3.0,Very High
2149.0,1433.0,4.0,2,600000.0,50.0,27690.0,3.0,3.0,Very High
1861.0,1696.359813,1.0,2,95000000.0,8.0,51050.0,3.0,3.0,Very High
2200.0,1600.0,3.0,2,600000.0,21.0,27270.0,3.0,3.0,Very High
600.0,439.9873688,1.0,1,96000.00858,7.0,16000.0,1.0,1.0,Low
1237.0,750.0,2.0,1,380000.0,16.0,30320.0,2.0,2.0,Very High
1100.0,1228.108458,1.0,1,40000000.0,6.0,36360.0,3.0,2.0,Very High
1050.0,714.2199025,2.0,1,13500000.0,7.0,12860.0,2.0,2.0,Medium
1000.0,963.0,2.0,1,650000.0,32.0,65000.0,2.0,2.0,Very High
958.0,858.0,3.0,1,0.0,18.0,25890.0,3.0,3.0,High
1300.0,1200.0,2.0,1,270000.0,17.0,20770.0,3.0,3.0,High
1350.0,1108.632046,1.0,1,41500000.0,5.0,30740.0,3.0,4.0,Very High
965.0,738.6920727,3.0,2,42367.8927,14.0,7460.0,2.0,2.0,Low
890.0,643.0,2.0,2,200000.0,42.0,22470.0,2.0,2.0,High
1400.0,1400.0,3.0,3,900000.0,74.0,64280.0,4.0,4.0,Very High
1010.0,603.5882624,1.0,2,19900000.0,11.0,19700.0,2.0,2.0,High
3312.0,2760.0,4.0,5,1200000.0,43.0,36230.0,5.0,5.0,Very High
1500.0,1100.0,3.0,1,530000.0,14.0,35670.0,3.0,3.0,Very High
1448.0,1317.0,2.0,2,430000.0,39.0,29350.0,3.0,3.0,Very High
500.0,470.0,1.0,2,45952.22368,11.0,4600.0,1.0,1.0,Low
1200.0,781.0,2.0,1,240000.0,41.0,19580.0,3.0,3.0,High
735.0,732.0,2.0,1,190000.0,36.0,27210.0,2.0,2.0,High
1250.0,1070.0,3.0,1,350000.0,12.0,28000.0,3.0,3.0,Very High
838.0,838.0,2.0,1,390000.0,7.0,46540.0,3.0,3.0,Very High
600.0,534.0,1.0,1,0.0,22.0,25000.0,2.0,2.0,Medium
713.0,620.0,2.0,1,180000.0,15.0,24540.0,2.0,2.0,Medium
1800.0,1350.0,3.0,2,950000.0,16.0,45830.0,3.0,3.0,Very High
3000.0,3494.449618,5.0,3,2000000.0,76.0,76670.0,5.0,6.0,Very High
665.0,425.0,2.0,1,78000.0,15.0,5860.0,1.0,1.0,Low
690.0,420.0,2.0,1,100000.0,20.0,9420.0,1.0,1.0,Low
2000.0,1993.0,3.0,4,0.0,19.0,39500.0,4.0,4.0,Very High
1100.0,963.9523423,3.0,2,27000000.0,10.0,24550.0,3.0,3.0,High
1846.0,1959.015596,1.0,3,86189616.11,50.0,46670.0,4.0,5.0,Very High
975.0,780.0,2.0,2,190000.0,30.0,18970.0,2.0,2.0,Medium
620.0,385.0,2.0,0,75000.0,23.0,8550.0,1.0,1.0,Low
1000.0,680.0,2.0,1,270000.0,15.0,27000.0,2.0,2.0,High
540.0,429.0504227,2.0,0,92364.32605,20.0,12040.0,1.0,2.0,Low
935.0,650.0,2.0,1,290000.0,13.0,15510.0,2.0,2.0,Medium
1200.0,864.0,2.0,1,0.0,5.0,31250.0,2.0,2.0,Very High
1437.0,965.0,3.0,2,350000.0,50.0,24770.0,3.0,3.0,Very High
950.0,737.0,2.0,1,200000.0,15.0,21050.0,2.0,2.0,High
720.0,680.0,2.0,1,110000.0,22.0,16110.0,1.0,1.0,Medium
1250.0,852.9995575,1.0,1,34700000.0,16.0,27760.0,3.0,3.0,High
736.0,650.0,2.0,1,140000.0,22.0,19700.0,2.0,2.0,Medium
1350.0,1110.0,2.0,2,300000.0,7.0,22220.0,3.0,3.0,High
1100.0,738.8998331,1.0,1,19000000.0,15.0,17270.0,2.0,2.0,Medium
225.0,355.9479939,1.0,1,59403.91309,7.0,12890.0,1.0,1.0,Low
2000.0,1670.0,3.0,1,300000.0,15.0,14750.0,3.0,3.0,High
1827.0,1350.0,3.0,0,400000.0,20.0,21890.0,3.0,3.0,Very High
1700.0,1228.351367,3.0,2,40000000.0,38.0,23530.0,4.0,5.0,Very High
950.0,707.3675596,1.0,1,17500000.0,12.0,18420.0,2.0,2.0,Medium
535.0,475.0,2.0,1,22499999.7,7.0,42060.0,1.0,1.0,High
600.0,394.0,2.0,1,95000.0,20.0,15830.0,1.0,1.0,Low
850.0,680.0,2.0,1,190000.0,18.0,22700.0,2.0,2.0,High
1030.0,980.0,3.0,1,650000.0,20.0,63110.0,2.0,2.0,Very High
550.0,400.0,2.0,0,110000.0,8.0,20910.0,1.0,1.0,Medium
900.0,750.0,2.0,1,220083.9299,12.0,24440.0,2.0,2.0,High
600.0,427.0,2.0,1,110000.0,21.0,19170.0,1.0,1.0,Medium
890.0,771.0,2.0,1,0.0,23.0,26740.0,2.0,2.0,High
710.0,480.0,2.0,1,0.0,22.0,8870.0,1.0,1.0,Low
3600.0,2700.0,5.0,3,1780000.0,79.0,49300.0,4.0,4.0,Very High
1450.0,1353.0,3.0,3,650000.0,15.0,44830.0,3.0,3.0,Very High
2880.0,2650.0,3.0,3,900000.0,40.0,27780.0,4.0,4.0,Very High
540.0,429.0504227,2.0,0,92364.32605,20.0,12040.0,1.0,2.0,Low
1000.0,860.0,2.0,1,189884.6068,10.0,18700.0,2.0,2.0,Medium
1560.0,1300.0,3.0,2,460000.0,42.0,29490.0,3.0,3.0,Very High
930.0,650.0,2.0,0,14850.43052,22.0,10540.0,2.0,2.0,Low
575.0,350.0,1.0,1,66000.0,8.0,5740.0,1.0,1.0,Low
1325.0,980.0,3.0,3,250000.0,36.0,18490.0,3.0,3.0,High
850.0,924.9005653,1.0,1,35000000.0,7.0,41180.0,2.0,2.0,Very High
452.0,386.0592347,1.0,1,39966.68177,4.0,17700.0,1.0,1.0,Low
1350.0,1067.792193,1.0,2,47500000.0,8.0,35190.0,3.0,3.0,Very High
2100.0,1450.0,4.0,1,1350000.0,7.0,64280.0,4.0,4.0,Very High
580.0,580.0,2.0,0,6092261.094,16.0,32760.0,2.0,2.0,Medium
550.0,422.3334609,1.0,1,10500000.0,10.0,19090.0,1.0,2.0,Medium
750.0,684.0,2.0,1,0.0,44.0,31870.0,2.0,2.0,High
610.0,390.0,1.0,2,68000.0,14.0,6720.0,1.0,1.0,Low
980.0,847.9797384,1.0,2,30000000.0,7.0,30610.0,3.0,3.0,High
700.0,500.0,2.0,0,90000.0,14.0,9290.0,1.0,1.0,Low
660.0,407.3349065,2.0,1,0.0,12.0,4540.0,1.0,1.0,Low
618.0,400.0,1.0,1,50721.37694,7.0,5180.0,1.0,1.0,Low
900.0,700.0,2.0,1,550000.0,8.0,61110.0,2.0,2.0,Very High
1050.0,749.0,2.0,2,210000.0,15.0,20000.0,2.0,2.0,High
650.0,500.0,1.0,0,120000.0,14.0,18460.0,1.0,1.0,Medium
610.0,392.0,1.0,1,69497.83443,22.0,5380.0,1.0,1.0,Low
1312.0,1305.19712,1.0,2,56500000.0,43.0,43060.0,3.0,3.0,Very High
1650.0,1435.0,3.0,0,530000.0,20.0,31880.0,3.0,3.0,Very High
650.0,444.0,2.0,0,110000.0,7.0,17230.0,1.0,1.0,Medium
1200.0,800.0221817,2.0,2,150000.0,21.0,20830.0,2.0,1.0,High
2080.0,1600.0,4.0,2,710000.0,24.0,34130.0,4.0,4.0,Very High
860.0,651.0,2.0,1,190000.0,19.0,21980.0,2.0,2.0,Medium
2700.0,2146.0,6.0,8,900000.0,61.0,33330.0,6.0,6.0,Very High
756.0,630.0,2.0,1,10087791.11,30.0,17860.0,2.0,2.0,Medium
225.0,180.0000809,1.0,0,40116.29632,7.0,14000.0,1.0,2.0,Low
2660.0,1900.0,3.0,2,800000.0,91.0,30070.0,3.0,3.0,Very High
720.0,512.0,2.0,0,140000.0,15.0,18750.0,2.0,2.0,Medium
756.0,525.0,2.0,1,0.0,16.0,9260.0,1.0,1.0,Low
800.0,926.4656234,1.0,1,35000000.0,7.0,43750.0,2.0,2.0,Very High
1350.0,1071.0,3.0,1,0.0,36.0,19630.0,3.0,3.0,High
575.0,355.0,1.0,1,54000.0,9.0,4700.0,1.0,1.0,Low
700.0,897.7304249,1.0,1,31000000.0,7.0,44280.0,2.0,2.0,High
1250.0,807.0,2.0,1,200000.0,36.0,15840.0,2.0,2.0,High
455.0,287.0,1.0,2,0.0,5.96873294,3300.0,1.0,1.0,Low
1200.0,725.7362272,1.967317579,1,12200000.0,9.0,10170.0,2.0,2.683394769,Medium
600.0,535.0334754,1.0,0,12000000.0,6.0,19970.0,1.0,2.0,Medium
700.0,460.0,2.0,1,130000.0,15.0,18570.0,1.0,1.0,Medium
610.0,440.0,2.0,1,75000.0,7.0,11470.0,1.0,1.0,Low
1395.0,1012.0,3.0,1,180000.0,16.0,12540.0,3.0,3.0,Medium
775.0,600.0,2.0,1,180000.0,14.0,23610.0,2.0,2.0,Medium
770.0,642.0,2.0,1,190000.0,20.0,22730.0,2.0,2.0,Medium
480.0,420.0,1.0,1,100000.0,20.0,10420.0,1.0,1.0,Low
1045.0,670.0,2.0,1,0.0,12.0,8230.0,2.0,2.0,Low
932.0,932.0,3.0,2,280000.0,45.0,29510.0,3.0,3.0,High
920.0,672.6002813,2.0,1,19000000.0,7.0,20650.0,2.0,2.0,Medium
1820.0,1369.162176,1.0,2,57500000.0,26.0,31590.0,3.0,3.0,Very High
450.0,345.0,1.0,0,1173966.479,20.0,22220.0,1.0,1.0,Low
550.0,397.1339474,2.0,1,0.0,7.0,10730.0,1.0,2.0,Low
695.0,439.0,2.0,1,0.0,12.0,9650.0,1.0,1.0,Low
675.0,480.0,2.0,1,68000.0,11.0,10070.0,1.0,1.0,Low
736.0,442.0,1.0,3,55999.0,15.0,3870.0,1.0,1.0,Low
865.0,706.2252667,1.0,1,24500000.0,7.0,28320.0,2.0,2.0,High
370.0,410.7777965,1.0,0,0.0,13.85630801,15950.0,1.0,1.0,Low
745.0,626.4275664,1.0,2,19000000.0,15.0,25500.0,2.0,2.0,Medium
900.0,893.0,2.0,1,450000.0,78.0,53890.0,2.0,2.0,Very High
802.0,486.0,2.0,1,130000.0,40.0,15590.0,1.0,1.0,Medium
550.0,343.0,1.0,1,19795.32731,36.0,11450.0,1.0,1.0,Low
750.0,620.0,2.0,1,170000.0,30.0,11600.0,2.0,2.0,Low
843.0,743.0,2.0,1,0.0,9.0,37600.0,2.0,2.0,High
480.0,400.0,2.0,0,0.0,24.0,31880.0,1.0,1.0,Medium
1150.0,850.0,2.0,1,310000.0,22.0,27390.0,2.0,2.0,High
1000.0,850.0,2.0,1,22425786.01,28.0,22500.0,2.0,2.0,High
433.0,333.0,2.0,1,110000.0,45.0,25400.0,1.0,1.0,Medium
900.0,600.0,2.0,1,89901.8671,12.0,5000.0,2.0,2.0,Low
850.0,550.0,2.0,1,160000.0,18.0,17650.0,2.0,2.0,Medium
540.0,425.0,2.0,1,110000.0,15.0,20370.0,1.0,1.0,Medium
576.0,450.0,1.0,1,120000.0,13.0,20830.0,1.0,1.0,Medium
1000.0,888.0,2.0,1,260000.0,22.0,26000.0,2.0,2.0,High
